,action_type,combined_shot_type,loc_x,loc_y,shot_made_flag,shot_zone_area,shot_zone_basic,shot_zone_combined,avg_by_shot_zone_combined
4368,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4369,Jump Shot,Jump Shot,-100,140,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4370,Jump Shot,Jump Shot,-61,110,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4372,Turnaround Jump Shot,Jump Shot,136,43,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4373,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4374,Running Jump Shot,Jump Shot,118,118,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4375,Jump Shot,Jump Shot,-128,99,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4376,Jump Shot,Jump Shot,144,107,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4377,Jump Shot,Jump Shot,107,120,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4378,Jump Shot,Jump Shot,143,626,0.0,Back Court(BC),Backcourt,Back Court(BC) Backcourt,0.016666666666666666
4379,Jump Shot,Jump Shot,146,114,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4381,Jump Shot,Jump Shot,-74,235,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4382,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4383,Jump Shot,Jump Shot,163,45,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4385,Jump Shot,Jump Shot,190,117,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4386,Jump Shot,Jump Shot,-133,105,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4387,Jump Shot,Jump Shot,-136,130,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4388,Jump Shot,Jump Shot,-154,202,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4389,Jump Shot,Jump Shot,-16,158,,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4390,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4391,Jump Shot,Jump Shot,-141,35,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4392,Jump Shot,Jump Shot,-48,166,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4393,Jump Shot,Jump Shot,67,97,0.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
4394,Jump Shot,Jump Shot,232,82,0.0,Right Side(R),Right Corner 3,Right Side(R) Right Corner 3,0.33933933933933935
4395,Jump Shot,Jump Shot,159,194,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4396,Jump Shot,Jump Shot,80,230,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4398,Running Jump Shot,Jump Shot,-163,26,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4399,Jump Shot,Jump Shot,-140,215,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4400,Running Jump Shot,Jump Shot,75,84,1.0,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
4401,Jump Shot,Jump Shot,153,112,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4402,Jump Shot,Jump Shot,227,109,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4403,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4404,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4405,Jump Shot,Jump Shot,136,237,,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4406,Driving Finger Roll Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4407,Jump Shot,Jump Shot,-169,107,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4408,Slam Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4409,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4410,Turnaround Jump Shot,Jump Shot,131,13,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4411,Jump Shot,Jump Shot,-34,95,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4413,Jump Shot,Jump Shot,105,105,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4414,Jump Shot,Jump Shot,-110,127,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4415,Jump Shot,Jump Shot,-10,202,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4416,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4417,Jump Shot,Jump Shot,125,3,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4418,Jump Shot,Jump Shot,90,243,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4419,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4420,Jump Shot,Jump Shot,44,145,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4421,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4422,Jump Shot,Jump Shot,67,258,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4423,Jump Shot,Jump Shot,62,155,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4424,Jump Shot,Jump Shot,-66,257,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4425,Reverse Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4426,Turnaround Jump Shot,Jump Shot,121,7,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4427,Jump Shot,Jump Shot,113,51,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4428,Jump Shot,Jump Shot,-3,74,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4429,Jump Shot,Jump Shot,-15,114,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4430,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4431,Jump Shot,Jump Shot,-105,151,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4432,Jump Shot,Jump Shot,102,105,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4434,Jump Shot,Jump Shot,1,74,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4436,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4437,Tip Shot,Tip Shot,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4439,Jump Shot,Jump Shot,-3,206,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4440,Jump Shot,Jump Shot,1,253,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4441,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4442,Jump Shot,Jump Shot,-6,117,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4443,Jump Shot,Jump Shot,-151,66,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4444,Jump Shot,Jump Shot,-158,191,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4445,Jump Shot,Jump Shot,140,48,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4446,Jump Shot,Jump Shot,-97,227,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4447,Jump Shot,Jump Shot,-74,169,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4448,Jump Shot,Jump Shot,-200,68,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4449,Jump Shot,Jump Shot,156,84,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4451,Tip Shot,Tip Shot,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4452,Jump Shot,Jump Shot,-64,245,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4453,Jump Shot,Jump Shot,0,76,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4454,Jump Shot,Jump Shot,-230,64,0.0,Left Side(L),Left Corner 3,Left Side(L) Left Corner 3,0.37083333333333335
4455,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4456,Jump Shot,Jump Shot,158,10,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4458,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4459,Jump Shot,Jump Shot,-43,248,,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4460,Turnaround Jump Shot,Jump Shot,126,36,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4461,Jump Shot,Jump Shot,-141,100,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4462,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4464,Jump Shot,Jump Shot,-107,141,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4466,Jump Shot,Jump Shot,161,12,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4467,Jump Shot,Jump Shot,5,270,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4469,Reverse Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4470,Dunk Shot,Dunk,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4471,Running Jump Shot,Jump Shot,-105,81,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4472,Jump Shot,Jump Shot,-52,191,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4473,Driving Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4474,Jump Shot,Jump Shot,-84,117,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4475,Jump Shot,Jump Shot,-87,186,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4477,Slam Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4478,Jump Shot,Jump Shot,-48,105,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4479,Jump Shot,Jump Shot,186,15,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4480,Turnaround Jump Shot,Jump Shot,125,110,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4481,Jump Shot,Jump Shot,-164,148,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4482,Hook Shot,Hook Shot,79,192,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4483,Jump Shot,Jump Shot,66,10,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4484,Jump Shot,Jump Shot,54,176,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4485,Jump Shot,Jump Shot,105,240,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4486,Jump Shot,Jump Shot,210,160,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4487,Jump Shot,Jump Shot,-186,164,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4488,Jump Shot,Jump Shot,-192,172,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4489,Jump Shot,Jump Shot,67,248,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4490,Jump Shot,Jump Shot,94,163,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4491,Jump Shot,Jump Shot,92,33,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4492,Jump Shot,Jump Shot,172,18,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4493,Jump Shot,Jump Shot,28,150,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4494,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4495,Driving Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4496,Jump Shot,Jump Shot,-141,99,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4497,Jump Shot,Jump Shot,-15,258,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4498,Jump Shot,Jump Shot,138,13,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4499,Jump Shot,Jump Shot,52,156,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4501,Jump Shot,Jump Shot,189,38,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4502,Jump Shot,Jump Shot,74,8,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4503,Jump Shot,Jump Shot,212,145,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4504,Jump Shot,Jump Shot,5,245,1.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4505,Jump Shot,Jump Shot,176,219,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4506,Jump Shot,Jump Shot,218,138,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4507,Jump Shot,Jump Shot,-85,233,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4508,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4509,Jump Shot,Jump Shot,51,30,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4510,Jump Shot,Jump Shot,69,140,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4511,Jump Shot,Jump Shot,-108,160,,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4512,Jump Shot,Jump Shot,-146,150,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4513,Jump Shot,Jump Shot,-187,115,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4514,Jump Shot,Jump Shot,-159,61,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4515,Jump Shot,Jump Shot,-123,0,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4516,Jump Shot,Jump Shot,-163,97,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4517,Reverse Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4518,Jump Shot,Jump Shot,31,248,,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4519,Jump Shot,Jump Shot,-38,35,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4520,Jump Shot,Jump Shot,84,171,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4521,Jump Shot,Jump Shot,151,43,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4522,Running Jump Shot,Jump Shot,-39,71,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4523,Running Jump Shot,Jump Shot,0,79,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4524,Jump Shot,Jump Shot,182,54,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4525,Jump Shot,Jump Shot,-156,33,0.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4526,Jump Shot,Jump Shot,164,233,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4527,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4528,Reverse Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4529,Jump Shot,Jump Shot,36,173,1.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4530,Jump Shot,Jump Shot,77,197,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4531,Jump Shot,Jump Shot,0,63,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4532,Jump Shot,Jump Shot,-102,238,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4534,Jump Shot,Jump Shot,133,122,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4535,Running Jump Shot,Jump Shot,112,164,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4536,Turnaround Jump Shot,Jump Shot,-128,12,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4537,Jump Shot,Jump Shot,146,120,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4538,Jump Shot,Jump Shot,158,204,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4539,Turnaround Jump Shot,Jump Shot,107,46,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4540,Jump Shot,Jump Shot,-110,120,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4541,Jump Hook Shot,Jump Shot,10,68,0.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4543,Jump Shot,Jump Shot,-77,143,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4545,Jump Shot,Jump Shot,-29,69,,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4546,Driving Dunk Shot,Dunk,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4548,Jump Shot,Jump Shot,128,46,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4549,Jump Shot,Jump Shot,-95,230,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4550,Jump Shot,Jump Shot,-97,164,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4551,Jump Shot,Jump Shot,-74,81,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
4552,Jump Shot,Jump Shot,123,179,,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4553,Jump Shot,Jump Shot,39,255,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4554,Jump Shot,Jump Shot,-87,174,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4555,Jump Shot,Jump Shot,-135,207,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4556,Jump Shot,Jump Shot,-128,158,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4557,Running Jump Shot,Jump Shot,79,81,,Right Side(R),In The Paint (Non-RA),Right Side(R) In The Paint (Non-RA),0.4807692307692308
4558,Jump Shot,Jump Shot,112,174,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4559,Jump Shot,Jump Shot,87,63,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4560,Turnaround Jump Shot,Jump Shot,149,12,1.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4561,Jump Shot,Jump Shot,10,278,0.0,Center(C),Above the Break 3,Center(C) Above the Break 3,0.3207343412526998
4562,Jump Shot,Jump Shot,-130,209,,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4563,Jump Shot,Jump Shot,-97,137,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4565,Jump Shot,Jump Shot,-8,58,1.0,Center(C),In The Paint (Non-RA),Center(C) In The Paint (Non-RA),0.4550651000317561
4566,Jump Shot,Jump Shot,79,196,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4567,Jump Shot,Jump Shot,125,99,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4568,Jump Shot,Jump Shot,112,155,0.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4569,Jump Shot,Jump Shot,125,86,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4571,Jump Shot,Jump Shot,-151,158,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4572,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4573,Driving Layup Shot,Layup,0,0,,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4574,Jump Shot,Jump Shot,-38,141,0.0,Center(C),Mid-Range,Center(C) Mid-Range,0.41887675507020283
4575,Jump Shot,Jump Shot,-122,140,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4576,Jump Shot,Jump Shot,-103,138,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4577,Jump Shot,Jump Shot,-99,25,,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4578,Jump Shot,Jump Shot,141,100,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4579,Fadeaway Jump Shot,Jump Shot,-97,31,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4580,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4582,Dunk Shot,Dunk,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4583,Jump Shot,Jump Shot,172,41,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4584,Jump Shot,Jump Shot,-69,191,1.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4585,Jump Shot,Jump Shot,74,197,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4587,Jump Shot,Jump Shot,222,107,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4589,Jump Shot,Jump Shot,172,197,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4590,Jump Shot,Jump Shot,-82,10,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4591,Turnaround Jump Shot,Jump Shot,144,43,,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4592,Jump Shot,Jump Shot,166,10,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4593,Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4594,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4595,Jump Shot,Jump Shot,-191,125,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
4596,Jump Shot,Jump Shot,-176,181,0.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4597,Jump Shot,Jump Shot,-146,160,0.0,Left Side Center(LC),Mid-Range,Left Side Center(LC) Mid-Range,0.41092327698309494
4598,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4599,Driving Layup Shot,Layup,0,0,1.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4600,Jump Shot,Jump Shot,108,138,1.0,Right Side Center(RC),Mid-Range,Right Side Center(RC) Mid-Range,0.4192592592592593
4601,Jump Shot,Jump Shot,-71,46,1.0,Left Side(L),In The Paint (Non-RA),Left Side(L) In The Paint (Non-RA),0.4126984126984127
4602,Jump Shot,Jump Shot,171,183,0.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4603,Jump Shot,Jump Shot,133,64,0.0,Right Side(R),Mid-Range,Right Side(R) Mid-Range,0.3977491961414791
4604,Jump Shot,Jump Shot,-110,232,1.0,Left Side Center(LC),Above the Break 3,Left Side Center(LC) Above the Break 3,0.3192771084337349
4605,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4606,Layup Shot,Layup,0,0,0.0,Center(C),Restricted Area,Center(C) Restricted Area,0.6180040458530007
4607,Jump Shot,Jump Shot,98,250,1.0,Right Side Center(RC),Above the Break 3,Right Side Center(RC) Above the Break 3,0.3445807770961145
4608,Jump Shot,Jump Shot,-159,38,1.0,Left Side(L),Mid-Range,Left Side(L) Mid-Range,0.3973612727978269
